state_id,state,pop
1,Alabama,4921532
2,Alaska,731158
3,Arizona,7421401
4,Arkansas,3030522
5,California,39368078
6,Colorado,5807719
7,Connecticut,3557006
8,Delaware,986809
9,Florida,21733312
10,Georgia,10710017
11,Hawaii,1407006
12,Idaho,1826913
13,Illinois,12587530
14,Indiana,6754953
15,Iowa,3163561
16,Kansas,2913805
17,Kentucky,4477251
18,Louisiana,4645318
19,Maine,1350141
20,Maryland,6055802
21,Massachusetts,6893574
22,Michigan,9966555
23,Minnesota,5657342
24,Mississippi,2966786
25,Missouri,6151548
26,Montana,1080577
27,Nebraska,1937552
28,Nevada,3138259
29,New Hampshire,1366275
30,New Jersey,8882371
31,New Mexico,2106319
32,New York,19336776
33,North Carolina,10600823
34,North Dakota,765309
35,Ohio,11693217
36,Oklahoma,3980783
37,Oregon,4241507
38,Pennsylvania,12783254
39,Rhode Island,1057125
40,South Carolina,5218040
41,South Dakota,892717
42,Tennessee,6886834
43,Texas,29360759
44,Utah,3249879
45,Vermont,623347
46,Virginia,8590563
47,Washington,7693612
48,West Virginia,1784787
49,Wisconsin,5832655
50,Wyoming,582328
