state,name,party
Kansas,Jerry Moran,Republican
Kansas,Roger Marshall,Republican
Michigan,Gary Peters,Democratic
Michigan,Debbie Stabenow,Democratic
Virginia,Tim Kaine,Democratic
Virginia,Mark Warner,Democratic
Maryland,Chris Van Hollen,Democratic
Maryland,Ben Cardin,Democratic
California,Dianne Feinstein,Democratic
California,Alex Padilla,Democratic
Indiana,Mike Braun,Republican
Indiana,Todd C. Young,Republican
Iowa,Joni Ernst,Republican
Iowa,Chuck Grassley,Republican
Wyoming,John Barrasso,Republican
Wyoming,Cynthia Lummis,Republican
Idaho,Mike Crapo,Republican
Idaho,Jim Risch,Republican
Illinois,Tammy Duckworth,Democratic
Illinois,Dick Durbin,Democratic
Washington,Maria Cantwell,Democratic
Washington,Patty Murray,Democratic
Oregon,Jeff Merkley,Democratic
Oregon,Ron Wyden,Democratic
Wisconsin,Ronald Harold Johnson,Republican
Wisconsin,Tammy Baldwin,Democratic
New York,Chuck Schumer,Democratic
New York,Kirsten Gillibrand,Democratic
Arkansas,Tom Cotton,Republican
Arkansas,John Boozman,Republican
Minnesota,Tina Smith,Democratic
Minnesota,Amy Klobuchar,Democratic
Texas,Ted Cruz,Republican
Texas,John Cornyn,Republican
Kentucky,Mitch McConnell,Republican
Kentucky,Rand Paul,Republican
Ohio,Rob Portman,Republican
Ohio,Sherrod Brown,Democratic
Arizona,Kyrsten Sinema,Democratic
Arizona,Mark Kelly,Democratic
West Virginia,Joe Manchin III,Democratic
West Virginia,Shelley Moore Capito,Republican
Delaware,Tom Carper,Democratic
Delaware,Chris Coons,Democratic
Montana,Steve Daines,Republican
Montana,Jon Tester,Democratic
Georgia,Raphael Warnock,Democratic
Georgia,Jon Ossoff,Democratic
Massachusetts,Elizabeth Warren,Democratic
Massachusetts,Edward J. Markey,Democratic
Vermont,Bernie Sanders,Independent
Vermont,Patrick Leahy,Democratic
Colorado,Michael Bennet,Democratic
Colorado,John Hickenlooper,Democratic
Alabama,Richard Shelby,Republican
Alabama,Tommy Tuberville,Republican
Nevada,Catherine Cortez Masto,Democratic
Nevada,Jacky Rosen,Democratic
New Mexico,Martin Heinrich,Democratic
New Mexico,Ben Ray Luján,Democratic
Tennessee,Marsha Blackburn,Republican
Tennessee,Bill Hagerty,Republican
North Dakota,John Hoeven,Republican
North Dakota,Kevin Cramer,Republican
North Carolina,Richard Burr,Republican
North Carolina,Thom Tillis,Republican
Louisiana,Bill Cassidy,Republican
Louisiana,John Neely Kennedy,Republican
New Hampshire,Maggie Hassan,Democratic
New Hampshire,Jeanne Shaheen,Democratic
Maine,Angus King,Independent
Maine,Susan Collins,Republican
Florida,Rick Scott,Republican
Florida,Marco Rubio,Republican
South Dakota,John Thune,Republican
South Dakota,Mike Rounds,Republican
Rhode Island,Sheldon Whitehouse,Democratic
Rhode Island,Jack Reed,Democratic
New Jersey,Bob Menendez,Democratic
New Jersey,Cory Booker,Democratic
South Carolina,Lindsey Graham,Republican
South Carolina,Tim Scott,Republican
Hawaii,Brian E. Schatz,Democratic
Hawaii,Mazie K. Hirono,Democratic
Alaska,Daniel S. Sullivan,Republican
Alaska,Lisa Murkowski,Republican
Oklahoma,James Lankford,Republican
Oklahoma,Jim Inhofe,Republican
Nebraska,Ben Sasse,Republican
Nebraska,Deb Fischer,Republican
Connecticut,Christopher S. Murphy,Democratic
Connecticut,Richard Blumenthal,Democratic
Mississippi,Roger Wicker,Republican
Mississippi,Cindy Hyde-Smith,Republican
Missouri,Roy Blunt,Republican
Missouri,Josh Hawley,Republican
Pennsylvania,Pat Toomey,Republican
Pennsylvania,Bob Casey Jr.,Democratic
Utah,Mike Lee,Republican
Utah,Mitt Romney,Republican
